recommender,step,polarization,herd_index,velocity,total_posts,unique_active_agents
tiktok,1,0.5356,0.4615,0.4889,8,5
tiktok,2,0.5567,0.4512,0.3109,9,9
tiktok,3,0.5639,0.4773,0.5232,10,9
tiktok,4,0.5919,0.4892,0.6375,13,8
tiktok,5,0.6061,0.5112,0.5042,14,10
tiktok,6,0.615,0.4757,0.5377,15,7
tiktok,7,0.6372,0.5067,0.4419,17,5
tiktok,8,0.6584,0.4969,0.377,19,5
tiktok,9,0.6422,0.4929,0.3537,22,6
tiktok,10,0.6324,0.5083,0.4706,23,7
tiktok,11,0.6723,0.5114,0.5654,25,10
tiktok,12,0.6719,0.526,0.4485,27,6
tiktok,13,0.6712,0.4977,0.4844,30,6
tiktok,14,0.6764,0.5154,0.484,32,8
tiktok,15,0.6826,0.5802,0.4733,34,5
xiaohongshu,1,0.5356,0.5415,0.3639,8,5
xiaohongshu,2,0.551,0.5312,0.1859,9,9
xiaohongshu,3,0.5525,0.5573,0.3982,10,9
xiaohongshu,4,0.5748,0.5692,0.5125,13,8
xiaohongshu,5,0.5833,0.5912,0.3792,14,10
xiaohongshu,6,0.5865,0.5557,0.4127,15,7
xiaohongshu,7,0.603,0.5867,0.3169,17,5
xiaohongshu,8,0.6185,0.5769,0.252,19,5
xiaohongshu,9,0.5966,0.5729,0.2287,22,6
xiaohongshu,10,0.5811,0.5883,0.3456,23,7
xiaohongshu,11,0.6153,0.5914,0.4404,25,10
xiaohongshu,12,0.6092,0.606,0.3235,27,6
xiaohongshu,13,0.6028,0.5777,0.3594,30,6
xiaohongshu,14,0.6023,0.5954,0.359,32,8
xiaohongshu,15,0.6028,0.6602,0.3483,34,5
