recommender,step,polarization,herd_index,velocity,total_posts,unique_active_agents
TIKTOK,1,0.5356,0.4615,0.4889,8,5
TIKTOK,2,0.5567,0.4512,0.3109,9,9
TIKTOK,3,0.5639,0.4773,0.5232,10,9
TIKTOK,4,0.5919,0.4892,0.6375,13,8
TIKTOK,5,0.6061,0.5112,0.5042,14,10
TIKTOK,6,0.615,0.4757,0.5377,15,7
TIKTOK,7,0.6372,0.5067,0.4419,17,5
TIKTOK,8,0.6584,0.4969,0.377,19,5
TIKTOK,9,0.6422,0.4929,0.3537,22,6
TIKTOK,10,0.6324,0.5083,0.4706,23,7
TIKTOK,11,0.6723,0.5114,0.5654,25,10
TIKTOK,12,0.6719,0.526,0.4485,27,6
TIKTOK,13,0.6712,0.4977,0.4844,30,6
TIKTOK,14,0.6764,0.5154,0.484,32,8
TIKTOK,15,0.6826,0.5802,0.4733,34,5
XIAOHONGSHU,1,0.5356,0.5415,0.3639,8,5
XIAOHONGSHU,2,0.551,0.5312,0.1859,9,9
XIAOHONGSHU,3,0.5525,0.5573,0.3982,10,9
XIAOHONGSHU,4,0.5748,0.5692,0.5125,13,8
XIAOHONGSHU,5,0.5833,0.5912,0.3792,14,10
XIAOHONGSHU,6,0.5865,0.5557,0.4127,15,7
XIAOHONGSHU,7,0.603,0.5867,0.3169,17,5
XIAOHONGSHU,8,0.6185,0.5769,0.252,19,5
XIAOHONGSHU,9,0.5966,0.5729,0.2287,22,6
XIAOHONGSHU,10,0.5811,0.5883,0.3456,23,7
XIAOHONGSHU,11,0.6153,0.5914,0.4404,25,10
XIAOHONGSHU,12,0.6092,0.606,0.3235,27,6
XIAOHONGSHU,13,0.6028,0.5777,0.3594,30,6
XIAOHONGSHU,14,0.6023,0.5954,0.359,32,8
XIAOHONGSHU,15,0.6028,0.6602,0.3483,34,5
PINTEREST,1,0.5356,0.5415,0.2389,8,5
PINTEREST,2,0.5498,0.5312,0.0609,9,9
PINTEREST,3,0.5501,0.5573,0.2732,10,9
PINTEREST,4,0.5712,0.5692,0.3875,13,8
PINTEREST,5,0.5785,0.5912,0.2542,14,10
PINTEREST,6,0.5805,0.5557,0.2877,15,7
PINTEREST,7,0.5958,0.5867,0.1919,17,5
PINTEREST,8,0.6101,0.5769,0.127,19,5
PINTEREST,9,0.587,0.5729,0.1037,22,6
PINTEREST,10,0.5703,0.5883,0.2206,23,7
PINTEREST,11,0.6033,0.5914,0.3154,25,10
PINTEREST,12,0.596,0.606,0.1985,27,6
PINTEREST,13,0.5884,0.5777,0.2344,30,6
PINTEREST,14,0.5867,0.5954,0.234,32,8
PINTEREST,15,0.586,0.6602,0.2233,34,5
