config,step,currentStep,activeAgents,totalPosts,polarization,logCount,stepTime
A,1,1,3,2,0.16000000000000003,0,5.0
A,2,2,3,2,0.16000000000000003,0,0.64
A,3,3,3,2,0.16000000000000003,0,0.73
A,4,4,3,2,0.16000000000000003,0,0.71
A,5,5,3,2,0.16000000000000003,0,0.67
A,6,6,3,2,0.16000000000000003,0,0.71
A,7,7,3,2,0.16000000000000003,0,0.73
A,8,8,3,2,0.16000000000000003,0,0.98
A,9,9,3,2,0.16000000000000003,0,1.0
A,10,10,3,2,0.16000000000000003,0,1.05
B,1,1,5,0,0,0,2.72
B,2,2,5,0,0,0,0.68
B,3,3,5,0,0,0,0.72
B,4,4,5,0,0,0,0.68
B,5,5,5,0,0,0,0.71
B,6,6,5,0,0,0,0.68
B,7,7,5,0,0,0,0.68
B,8,8,5,0,0,0,0.72
B,9,9,5,0,0,0,0.72
B,10,10,5,0,0,0,0.74
B,11,11,5,0,0,0,0.78
B,12,12,5,0,0,0,0.8
B,13,13,5,0,0,0,0.84
B,14,14,5,0,0,0,0.82
B,15,15,5,0,0,0,1.06
B,16,16,5,0,0,0,1.02
B,17,17,5,0,0,0,1.02
B,18,18,5,0,0,0,1.03
B,19,19,5,0,0,0,1.07
B,20,20,5,0,0,0,1.01
