step,avg_memory_records,max_memory_records,avg_context_tokens,max_context_tokens,total_user_records,total_assistant_records,total_tool_records,avg_get_context_ms
1,3,3,265,266,3,3,0,0.406
2,4,4,504,505,6,3,0,0.649
3,5,5,743,744,9,3,0,0.892
4,6,6,982,983,12,3,0,1.147
5,7,7,1221,1222,15,3,0,1.432
6,8,8,1460,1461,18,3,0,1.819
7,9,9,1699,1700,21,3,0,1.808
8,10,10,1938,1939,24,3,0,2.075
9,11,11,2177,2178,27,3,0,2.348
10,12,12,2416,2417,30,3,0,2.414
11,13,13,2655,2656,33,3,0,2.601
12,14,14,2894,2895,36,3,0,2.854
13,15,15,3133,3134,39,3,0,3.174
14,16,16,3372,3373,42,3,0,3.395
15,17,17,3611,3612,45,3,0,3.622
16,18,18,3850,3851,48,3,0,3.834
17,19,19,4089,4090,51,3,0,4.632
18,20,20,4089,4090,54,3,0,4.677
19,21,21,4089,4090,57,3,0,4.709
20,22,22,4089,4090,60,3,0,5.116
