step,totalPosts,polarization,step_time
1,2,0.41999999999999993,5.46
2,2,0.41999999999999993,0.82
3,2,0.41999999999999993,0.94
4,2,0.41999999999999993,0.81
5,2,0.41999999999999993,0.78
6,2,0.41999999999999993,0.85
7,2,0.41999999999999993,0.84
8,2,0.41999999999999993,1.37
9,2,0.41999999999999993,1.11
10,2,0.41999999999999993,1.14
11,2,0.41999999999999993,1.11
12,2,0.41999999999999993,1.11
13,2,0.41999999999999993,2.09
14,2,0.41999999999999993,1.2
15,2,0.41999999999999993,1.23
16,2,0.41999999999999993,1.13
17,2,0.41999999999999993,1.16
18,2,0.41999999999999993,1.13
19,2,0.41999999999999993,2.34
20,2,0.41999999999999993,1.19
