step,total_posts,polarization,step_time
1,10,0.3062888458477148,5.08
2,10,0.3222070039416785,1.83
3,10,0.3790092548211489,1.29
4,10,0.3743114619961415,1.37
5,10,0.33134723784256953,1.95
6,10,0.3392533276560313,1.88
7,10,0.3520182889221279,1.86
8,10,0.32004271700404174,1.94
9,10,0.34330411465624056,1.91
10,10,0.34353271138653474,1.86
11,10,0.34336630243646693,2.0
12,10,0.37559185294919767,1.93
13,10,0.2965183123481913,3.8
14,10,0.35950681464595724,1.91
15,10,0.32106092737932085,1.91
